ts_unix_ms,t_since_start_s,phase,pcie_tx_GiB_s,pcie_rx_GiB_s,pcie_total_GiB_s,pcie_tx_cum_GiB,pcie_rx_cum_GiB,pcie_total_cum_GiB,pcie_tx_util_pct,pcie_rx_util_pct,pcie_total_util_pct,gpu_mem_used_GiB,util_gpu_pct,cpu_util_pct
1774778627205,0.038000,seed,0.000278,0.000325,0.000604,0.003917,0.003544,0.007461,0.001000,0.001000,0.002000,68.567871,0.000000,0.300000
1774778627247,0.080000,seed,0.003213,0.009732,0.012945,0.004052,0.003955,0.008007,0.011000,0.033000,0.044000,68.825684,0.000000,0.200000
1774778627289,0.122000,seed,0.003352,0.010291,0.013643,0.004197,0.004399,0.008596,0.011000,0.035000,0.046000,68.825684,0.000000,0.400000
1774778627332,0.165000,seed,0.003259,0.009499,0.012757,0.004335,0.004803,0.009138,0.011000,0.032000,0.043000,68.825684,0.000000,0.200000
1774778627375,0.208000,seed,0.003259,0.006473,0.009731,0.004473,0.005077,0.009551,0.011000,0.022000,0.033000,68.825684,0.000000,0.400000
1774778627417,0.250000,seed,7.827300,0.009639,7.836939,0.336561,0.005486,0.342047,26.678000,0.033000,26.710000,68.825684,0.000000,0.200000
1774778627459,0.292000,seed,0.003073,0.008986,0.012059,0.336691,0.005867,0.342558,0.010000,0.031000,0.041000,68.825684,0.000000,0.200000
1774778627502,0.335000,seed,0.008986,0.010198,0.019184,0.337072,0.006299,0.343370,0.031000,0.035000,0.065000,68.825684,0.000000,0.300000
1774778627544,0.377000,seed,0.012154,0.008754,0.020907,0.337586,0.006669,0.344255,0.041000,0.030000,0.071000,68.825684,0.000000,0.300000
1774778627587,0.420000,seed,11.244462,0.013084,11.257546,0.837887,0.007251,0.845138,38.324000,0.045000,38.369000,68.825684,0.000000,0.400000
1774778627631,0.464000,seed,0.003259,0.008335,0.011594,0.838027,0.007609,0.845636,0.011000,0.028000,0.040000,68.825684,85.000000,0.200000
1774778627674,0.507000,seed,0.002840,0.008056,0.010896,0.838147,0.007950,0.846097,0.010000,0.027000,0.037000,68.825684,85.000000,0.200000
1774778627716,0.549000,seed,0.003119,0.008288,0.011408,0.838279,0.008303,0.846582,0.011000,0.028000,0.039000,68.825684,85.000000,0.400000
1774778627759,0.592000,seed,0.002747,0.009266,0.012012,0.838396,0.008695,0.847090,0.009000,0.032000,0.041000,68.825684,85.000000,0.200000
1774778627801,0.634000,seed,12.632459,0.048755,12.681213,2.059571,0.013408,2.072978,43.055000,0.166000,43.221000,68.825684,85.000000,0.500000
1774778627897,0.730000,seed,0.002980,0.007776,0.010756,2.059696,0.013734,2.073429,0.010000,0.027000,0.037000,68.825684,98.000000,0.200000
1774778627939,0.772000,seed,0.002793,0.007544,0.010337,2.059812,0.014047,2.073859,0.010000,0.026000,0.035000,68.825684,98.000000,0.300000
1774778627981,0.814000,seed,0.002514,0.005914,0.008428,2.059918,0.014297,2.074214,0.009000,0.020000,0.029000,68.825684,98.000000,0.400000
1774778628024,0.857000,seed,0.251317,0.008335,0.259652,2.070598,0.014651,2.085248,0.857000,0.028000,0.885000,68.825684,98.000000,0.300000
1774778628066,0.899000,seed,0.002793,0.008894,0.011687,2.070716,0.015028,2.085744,0.010000,0.030000,0.040000,68.825684,98.000000,0.200000
1774778628108,0.941000,seed,0.004190,0.008242,0.012432,2.070911,0.015412,2.086323,0.014000,0.028000,0.042000,68.825684,98.000000,0.400000
1774778628155,0.988000,seed,0.002887,0.008148,0.011035,2.071033,0.015756,2.086790,0.010000,0.028000,0.038000,68.825684,98.000000,0.200000
1774778628197,1.030000,seed,0.002934,0.007869,0.010802,2.071158,0.016090,2.087247,0.010000,0.027000,0.037000,68.825684,98.000000,0.400000
1774778628240,1.073000,seed,15.451432,0.008894,15.460326,2.725930,0.016467,2.742397,52.663000,0.030000,52.693000,68.825684,98.000000,0.200000
1774778628282,1.115000,seed,0.002793,0.007869,0.010662,2.726049,0.016800,2.742848,0.010000,0.027000,0.036000,68.825684,98.000000,0.500000
1774778628324,1.157000,seed,0.003446,0.007636,0.011082,2.726195,0.017124,2.743319,0.012000,0.026000,0.038000,68.825684,98.000000,0.600000
1774778628367,1.200000,seed,0.002747,0.007589,0.010336,2.726311,0.017445,2.743757,0.009000,0.026000,0.035000,68.825684,98.000000,0.600000
1774778628409,1.242000,seed,0.003864,0.007869,0.011733,2.726488,0.017804,2.744292,0.013000,0.027000,0.040000,68.825684,100.000000,0.600000
1774778628455,1.288000,seed,0.002701,0.009266,0.011967,2.726602,0.018196,2.744798,0.009000,0.032000,0.041000,68.825684,100.000000,0.500000
1774778628497,1.330000,seed,4.699733,0.008428,4.708160,2.926065,0.018554,2.944618,16.018000,0.029000,16.047000,68.825684,100.000000,0.600000
1774778628540,1.373000,seed,0.008847,0.008707,0.017554,2.926439,0.018922,2.945362,0.030000,0.030000,0.060000,68.825684,100.000000,0.600000
1774778628582,1.415000,seed,0.011827,0.007311,0.019138,2.926940,0.019232,2.946172,0.040000,0.025000,0.065000,68.825684,100.000000,0.600000
1774778628624,1.457000,seed,0.003026,0.007544,0.010570,2.927069,0.019554,2.946623,0.010000,0.026000,0.036000,68.825684,98.000000,0.600000
1774778628667,1.500000,seed,0.002701,0.007683,0.010384,2.927184,0.019879,2.947062,0.009000,0.026000,0.035000,68.825684,98.000000,0.600000
1774778628709,1.542000,seed,0.002747,0.012107,0.014853,2.927303,0.020407,2.947710,0.009000,0.041000,0.051000,68.825684,98.000000,0.500000
1774778628753,1.586000,seed,11.920789,0.008335,11.929124,3.434450,0.020761,3.455212,40.629000,0.028000,40.658000,68.825684,98.000000,0.600000
1774778628795,1.628000,seed,0.002701,0.007217,0.009918,3.434565,0.021068,3.455633,0.009000,0.025000,0.034000,68.825684,98.000000,0.600000
1774778628838,1.671000,seed,0.002701,0.006332,0.009033,3.434679,0.021336,3.456016,0.009000,0.022000,0.031000,68.825684,98.000000,0.600000
1774778628880,1.713000,seed,0.002281,0.006985,0.009266,3.434776,0.021632,3.456407,0.008000,0.024000,0.032000,68.825684,98.000000,0.600000
1774778628922,1.755000,seed,0.002747,0.007776,0.010523,3.434893,0.021962,3.456854,0.009000,0.027000,0.036000,68.825684,98.000000,0.600000
1774778628965,1.798000,seed,0.002747,0.006798,0.009544,3.435009,0.022249,3.457258,0.009000,0.023000,0.033000,68.825684,98.000000,0.500000
1774778629007,1.840000,seed,0.002467,0.006518,0.008986,3.435119,0.022541,3.457659,0.008000,0.022000,0.031000,68.825684,98.000000,0.300000
1774778629052,1.885000,seed,0.002421,0.007077,0.009499,3.435222,0.022841,3.458063,0.008000,0.024000,0.032000,68.825684,98.000000,0.300000
1774778629094,1.927000,seed,0.002467,0.007544,0.010011,3.435327,0.023162,3.458488,0.008000,0.026000,0.034000,68.825684,98.000000,0.300000
1774778629137,1.970000,seed,0.002421,0.006239,0.008660,3.435429,0.023426,3.458856,0.008000,0.021000,0.030000,68.825684,98.000000,0.300000
1774778629179,2.012000,seed,0.002514,0.007217,0.009731,3.435536,0.023732,3.459268,0.009000,0.025000,0.033000,68.825684,98.000000,0.200000
1774778629222,2.055000,seed,0.002887,0.006798,0.009685,3.435658,0.024021,3.459679,0.010000,0.023000,0.033000,68.825684,98.000000,0.300000
1774778629264,2.097000,seed,0.002514,0.006891,0.009405,3.435765,0.024313,3.460077,0.009000,0.023000,0.032000,68.825684,98.000000,0.300000
1774778629306,2.139000,seed,6.488850,0.008754,6.497603,3.729342,0.024709,3.754050,22.116000,0.030000,22.146000,68.825684,98.000000,0.300000
1774778629352,2.185000,seed,0.002607,0.007031,0.009639,3.729453,0.025007,3.754460,0.009000,0.024000,0.033000,68.825684,98.000000,0.400000
1774778629394,2.227000,seed,0.002188,0.007403,0.009591,3.729546,0.025322,3.754867,0.007000,0.025000,0.033000,68.825684,100.000000,0.600000
1774778629437,2.270000,seed,0.002328,0.006659,0.008986,3.729644,0.025603,3.755247,0.008000,0.023000,0.031000,68.825684,100.000000,0.600000
1774778629479,2.312000,seed,0.002607,0.006100,0.008707,3.729754,0.025861,3.755616,0.009000,0.021000,0.030000,68.825684,100.000000,0.500000
1774778629521,2.354000,seed,0.002840,0.006286,0.009126,3.729875,0.026128,3.756002,0.010000,0.021000,0.031000,68.825684,100.000000,0.300000
1774778629564,2.397000,seed,0.002375,0.012293,0.014668,3.729976,0.026654,3.756631,0.008000,0.042000,0.050000,68.825684,100.000000,0.200000
1774778629607,2.440000,seed,0.003772,0.013364,0.017136,3.730148,0.027261,3.757409,0.013000,0.046000,0.058000,68.825684,98.000000,0.500000
1774778629652,2.485000,seed,0.002234,0.006332,0.008567,3.730243,0.027530,3.757773,0.008000,0.022000,0.029000,68.825684,98.000000,0.300000
1774778629694,2.527000,seed,0.002467,0.005541,0.008008,3.730348,0.027766,3.758114,0.008000,0.019000,0.027000,68.825684,98.000000,0.200000
1774778629737,2.570000,seed,0.002561,0.006332,0.008893,3.730456,0.028034,3.758490,0.009000,0.022000,0.030000,68.825684,98.000000,0.300000
1774778629779,2.612000,seed,0.002234,0.006705,0.008940,3.730551,0.028318,3.758869,0.008000,0.023000,0.030000,68.825684,98.000000,0.300000
1774778629822,2.655000,seed,0.002701,0.006705,0.009406,3.730665,0.028603,3.759268,0.009000,0.023000,0.032000,68.825684,98.000000,0.200000
1774778629864,2.697000,seed,0.002234,0.007357,0.009591,3.730760,0.028914,3.759673,0.008000,0.025000,0.033000,68.825684,98.000000,0.900000
1774778629906,2.739000,seed,0.002561,0.005634,0.008195,3.730876,0.029171,3.760047,0.009000,0.019000,0.028000,68.825684,98.000000,0.300000
1774778629952,2.785000,seed,15.451805,0.009732,15.461537,4.387924,0.029584,4.417508,52.664000,0.033000,52.697000,68.825684,98.000000,0.200000
1774778629994,2.827000,seed,0.002421,0.006985,0.009406,4.388026,0.029880,4.417907,0.008000,0.024000,0.032000,68.825684,100.000000,0.200000
1774778630037,2.870000,seed,0.002002,0.006518,0.008520,4.388111,0.030156,4.418267,0.007000,0.022000,0.029000,68.825684,100.000000,0.200000
1774778630079,2.912000,seed,0.002188,0.005402,0.007589,4.388204,0.030385,4.418589,0.007000,0.018000,0.026000,68.825684,100.000000,0.400000
1774778630121,2.954000,seed,0.002747,0.006705,0.009452,4.388320,0.030670,4.418990,0.009000,0.023000,0.032000,68.825684,100.000000,0.200000
1774778630164,2.997000,seed,0.002048,0.006332,0.008381,4.388407,0.030938,4.419345,0.007000,0.022000,0.029000,68.825684,100.000000,0.300000
1774778630206,3.039000,seed,0.003073,0.006752,0.009825,4.388549,0.031249,4.419797,0.010000,0.023000,0.033000,68.825684,98.000000,0.300000
1774778630252,3.085000,seed,0.002002,0.005261,0.007263,4.388633,0.031471,4.420104,0.007000,0.018000,0.025000,68.825684,98.000000,0.300000
1774778630295,3.128000,seed,15.451899,0.016577,15.468475,5.044029,0.032174,5.076203,52.664000,0.056000,52.721000,68.825684,98.000000,0.300000
1774778630337,3.170000,seed,0.004703,0.033015,0.037718,5.044228,0.033573,5.077802,0.016000,0.113000,0.129000,68.825684,98.000000,0.200000
1774778630379,3.212000,seed,0.010430,0.026961,0.037392,5.044672,0.034720,5.079391,0.036000,0.092000,0.127000,68.825684,98.000000,0.400000
1774778630422,3.255000,seed,0.009499,0.025937,0.035436,5.045076,0.035822,5.080898,0.032000,0.088000,0.121000,68.825684,100.000000,0.300000
1774778630464,3.297000,seed,0.009219,0.025937,0.035156,5.045467,0.036922,5.082388,0.031000,0.088000,0.120000,68.825684,100.000000,0.300000
1774778630507,3.340000,seed,0.009825,0.027427,0.037251,5.045949,0.038268,5.084217,0.033000,0.093000,0.127000,68.825684,100.000000,0.500000
1774778630556,3.389000,seed,0.008521,0.000233,0.008754,5.046309,0.038278,5.084587,0.029000,0.001000,0.030000,68.825684,100.000000,0.200000
1774778630598,3.431000,seed,0.000278,0.000325,0.000604,5.046321,0.038292,5.084613,0.001000,0.001000,0.002000,68.825684,97.000000,0.000000
1774778630640,3.473000,seed,0.005960,0.001210,0.007171,5.046572,0.038343,5.084915,0.020000,0.004000,0.024000,68.825684,97.000000,0.200000
1774778630683,3.516000,seed,0.008941,0.002607,0.011548,5.047011,0.038471,5.085481,0.030000,0.009000,0.039000,68.825684,97.000000,0.400000
1774778630732,3.565000,seed,0.000651,0.000278,0.000930,5.047040,0.038483,5.085523,0.002000,0.001000,0.003000,68.825684,97.000000,0.300000
1774778630776,3.609000,seed,0.000278,0.000233,0.000511,5.047052,0.038493,5.085545,0.001000,0.001000,0.002000,68.825684,97.000000,0.300000
1774778630819,3.652000,seed,0.000651,0.000278,0.000930,5.047079,0.038505,5.085584,0.002000,0.001000,0.003000,68.825684,57.000000,0.100000
1774778630861,3.694000,seed,0.000278,0.000233,0.000511,5.047091,0.038514,5.085605,0.001000,0.001000,0.002000,68.825684,57.000000,0.100000
1774778630903,3.736000,seed,0.000278,0.000325,0.000604,5.047103,0.038528,5.085631,0.001000,0.001000,0.002000,68.825684,57.000000,0.100000
1774778630945,3.778000,seed,0.000278,0.000233,0.000511,5.047114,0.038538,5.085652,0.001000,0.001000,0.002000,68.825684,57.000000,0.000000
1774778630987,3.820000,seed,0.000278,0.000233,0.000511,5.047126,0.038548,5.085674,0.001000,0.001000,0.002000,68.825684,57.000000,0.100000
1774778631029,3.862000,seed,0.000651,0.000233,0.000884,5.047154,0.038558,5.085711,0.002000,0.001000,0.003000,68.825684,0.000000,0.000000
1774778631071,3.904000,seed,0.000278,0.000233,0.000511,5.047165,0.038567,5.085733,0.001000,0.001000,0.002000,68.825684,0.000000,0.100000
1774778631114,3.947000,seed,0.000558,0.000278,0.000836,5.047190,0.038580,5.085769,0.002000,0.001000,0.003000,68.825684,0.000000,0.100000
1774778631157,3.990000,seed,0.000278,0.000233,0.000511,5.047202,0.038589,5.085791,0.001000,0.001000,0.002000,68.825684,0.000000,0.000000
1774778631199,4.032000,seed,0.000278,0.000325,0.000604,5.047213,0.038603,5.085816,0.001000,0.001000,0.002000,68.825684,0.000000,0.100000
1774778631242,4.075000,seed,0.000278,0.000233,0.000511,5.047225,0.038613,5.085838,0.001000,0.001000,0.002000,68.825684,0.000000,0.200000
1774778631284,4.117000,seed,0.000278,0.000278,0.000557,5.047237,0.038625,5.085861,0.001000,0.001000,0.002000,68.825684,0.000000,0.300000
1774778631326,4.159000,seed,0.000651,0.000233,0.000884,5.047264,0.038634,5.085899,0.002000,0.001000,0.003000,68.825684,0.000000,0.200000
1774778631368,4.201000,seed,0.000278,0.000278,0.000557,5.047276,0.038646,5.085922,0.001000,0.001000,0.002000,68.825684,0.000000,0.400000
1774778631410,4.243000,seed,0.000605,0.000278,0.000883,5.047303,0.038658,5.085961,0.002000,0.001000,0.003000,68.825684,0.000000,0.100000
1774778631454,4.287000,seed,0.000278,0.000233,0.000511,5.047314,0.038668,5.085983,0.001000,0.001000,0.002000,68.825684,0.000000,0.100000
1774778631497,4.330000,seed,0.000278,0.000278,0.000557,5.047326,0.038680,5.086006,0.001000,0.001000,0.002000,68.825684,0.000000,0.000000
1774778631539,4.372000,seed,0.000278,0.000278,0.000557,5.047338,0.038692,5.086030,0.001000,0.001000,0.002000,68.825684,0.000000,0.300000
1774778631581,4.414000,seed,0.000278,0.000233,0.000511,5.047350,0.038702,5.086051,0.001000,0.001000,0.002000,68.825684,0.000000,0.100000
1774778631623,4.456000,seed,0.000698,0.000278,0.000977,5.047379,0.038713,5.086092,0.002000,0.001000,0.003000,68.825684,0.000000,0.000000
1774778631665,4.498000,seed,0.000278,0.005168,0.005446,5.047391,0.038931,5.086322,0.001000,0.018000,0.019000,68.825684,0.000000,0.100000
1774778631707,4.540000,seed,0.001350,0.008195,0.009545,5.047448,0.039276,5.086724,0.005000,0.028000,0.033000,68.825684,0.000000,0.100000
1774778631749,4.582000,seed,0.000278,0.000233,0.000511,5.047459,0.039286,5.086745,0.001000,0.001000,0.002000,68.825684,0.000000,0.100000
1774778631792,4.625000,idle,0.000278,0.000372,0.000650,5.047471,0.039302,5.086773,0.001000,0.001000,0.002000,68.825684,0.000000,0.000000
1774778631834,4.667000,idle,0.000278,0.000233,0.000511,5.047483,0.039312,5.086795,0.001000,0.001000,0.002000,68.825684,0.000000,0.100000
1774778631877,4.710000,idle,0.000278,0.000233,0.000511,5.047495,0.039322,5.086817,0.001000,0.001000,0.002000,68.825684,0.000000,0.000000
1774778631919,4.752000,idle,0.000651,0.000233,0.000884,5.047522,0.039331,5.086854,0.002000,0.001000,0.003000,68.825684,0.000000,0.000000
1774778631961,4.794000,idle,0.000278,0.000278,0.000557,5.047534,0.039343,5.086877,0.001000,0.001000,0.002000,68.825684,0.000000,0.000000
1774778632004,4.837000,idle,0.000278,0.000278,0.000557,5.047546,0.039355,5.086901,0.001000,0.001000,0.002000,68.825684,0.000000,0.100000
1774778632046,4.879000,reuse,0.000278,0.000233,0.000511,5.047558,0.039365,5.086922,0.001000,0.001000,0.002000,68.825684,0.000000,0.200000
1774778632088,4.921000,reuse,0.000278,0.002467,0.002746,5.047571,0.039485,5.087057,0.001000,0.008000,0.009000,68.825684,0.000000,0.200000
1774778632137,4.970000,reuse,0.000651,0.000278,0.000930,5.047600,0.039498,5.087098,0.002000,0.001000,0.003000,68.825684,0.000000,0.200000
1774778632181,5.014000,reuse,0.000278,0.000233,0.000511,5.047612,0.039507,5.087119,0.001000,0.001000,0.002000,68.825684,0.000000,0.000000
1774778632224,5.057000,reuse,0.001908,0.000278,0.002187,5.047693,0.039519,5.087212,0.007000,0.001000,0.007000,68.825684,0.000000,0.100000
1774778632266,5.099000,reuse,0.000278,0.000233,0.000511,5.047705,0.039529,5.087234,0.001000,0.001000,0.002000,68.825684,0.000000,0.000000
1774778632308,5.141000,reuse,0.329595,29.655033,29.984628,5.062631,1.382564,6.445195,1.123000,100.000000,102.196000,68.825684,0.000000,0.300000
1774778632353,5.186000,reuse,3.146892,27.941400,31.088291,5.203192,2.630605,7.833797,10.725000,95.232000,105.957000,68.825684,0.000000,0.200000
